plz,ort,bundesland,zulassungsbezirk
02634,Ostweiler,BB,DMM
02643,Bischofsfeld,BB,DMM
02648,Talstein am Moor,BB,DMM
02655,Mühlhausen,BB,DMM
02656,Niederheim-West,BB,DMM
02659,Moorberg,BB,DMM
02660,Hirschroda,BB,DMM
02661,Fährau-Nord,BB,DMM
02663,Hafenberg,BB,DMM
02664,Heidekirchen,BB,DMM
02667,Espenhagen,BB,DMM
02668,Ritterberg,BB,DMM
02670,Grünweiler an der Ilm,BB,DMM
02672,Rabenheim,BB,DMM
02676,Nebelhausen-Süd,BB,DMM
02684,Bruchroda,BB,DMM
02687,Rabeningen,BB,DMM
02691,Talroda,BB,DMM
02692,Neukirchen,BB,DMM
02694,Marktkirchen,BB,DMM
02695,Hirschstein an der Ilm,BB,DMM
02697,Westroda im Grund,BB,DMM
02698,Brückenhagen,BB,DMM
02699,Wiesendorf,BB,DMM
02707,Lindenhagen im Tal,BB,DMM
02708,Sommerburg am Moor,BB,DMM
02709,Kiesstadt-West,BB,DMM
02710,Mönchsbrück,BB,DMM
02711,Buchenberg im Tal,BB,DMM
02713,Königsheim,BB,DMM
02714,Kiesscheid,BB,DMM
02718,Talkirchen,BB,DMM
02723,Lindenberg,BB,DMM
02724,Unterstadt,BB,DMM
02728,Rehburg an der Warne,BB,DMM
02736,Oberhofen an der Warne,BB,DMM
02741,Bad Falkenhofen an der Aue,BB,DMM
02742,Schlossstein,BB,DMM
02743,Bärenhofen,BB,DMM
02749,Bischofsdorf,BB,DMM
02760,Rabeningen-West,BB,DMM
02764,Unterscheid,BB,DMM
02772,Heidebrunn,BB,DMM
02779,Nebelkirchen,BB,DMM
02780,Buchenroda,BB,DMM
02781,Unterhagen,BB,DMM
02783,Erlenheim,BB,DMM
02785,Birkenstadt an der Warne,BB,DMM
02793,Fürstenthal an der Ilm,BB,DMM
02797,Heideroda an der Aue,BB,DMM
02805,Mönchsstadt,BB,DMM
02806,Rehheim,BB,DMM
02810,Fuchsburg,BB,DMM
02813,Sandkirchen,BB,DMM
02814,Neutal,BB,DMM
02819,Falkenberg,BB,DMM
02820,Ahornfurt,BB,DMM
02827,Bad Sommerfurt an der Warne,BB,DMM
02831,Kleinburg,BB,DMM
02836,Neuau,BB,DMM
02843,Sternberg am See,BB,DMM
02849,Nebeltal,BB,DMM
02854,Wiesenfurt,BB,DMM
02861,Rabenstadt,SN,MO
02870,Rabenfeld,SN,MO
02876,Buchenstein,SN,MO
02916,Sternau,SN,MO
02945,Fürstenau an der Ilm,SN,MO
03001,Fürstensee,SN,MO
03014,Sonnenroda,SN,MO
03024,Rehbrunn,SN,MO
03027,Südheim,SN,MO
03036,Grünburg,SN,MO
03081,Heideheim,SN,MO
03139,Hafenweiler,TH,J
03155,Mönchsthal am Berg,TH,J
03157,Burgingen,TH,J
03160,Rehfeld-Ost,TH,J
03162,Moorfurt,TH,J
03181,Bischofsbrunn,TH,J
03190,Sonnenhausen,TH,J
03199,Niedertal,TH,J
03207,Kieshausen,TH,J
03212,Ahornbrück,TH,J
03223,Wiesenbrunn,TH,J
03225,Bischofshofen-Nord,TH,J
03250,Südwald,TH,J
03258,Bad Bruchstein,TH,J
03260,Nordingen,TH,J
03271,Wiesental,TH,J
03279,Sandfeld im Grund,TH,J
03280,Burgheim,TH,J
03285,Neuscheid-Süd,TH,J
03292,Feldroda im Tal,TH,J
03304,Kleinfeld,TH,J
03309,Bischofsau,TH,J
03310,Oberheim,TH,J
03326,Sandau,TH,J
03344,Falkenfeld am Moor,TH,J
03357,Erlenbrück,TH,J
03361,Niederhofen,TH,J
03365,Birkenfurt,TH,J
03368,Steinroda,TH,J
03408,Falkenthal,SN,ROW
03410,Winterfeld,SN,ROW
03432,Großingen,SN,ROW
03433,Falkenfurt,SN,ROW
03497,Steinbrunn,SN,ROW
03501,Sommertal,SN,ROW
03581,Mondfeld,SN,ROW
03590,Bad Großfurt,SN,ROW
03592,Steindorf,SN,ROW
03666,Ahornbrück,SN,FEC
03677,Sonnenbrunn am Moor,SN,FEC
03682,Fuchsberg,SN,FEC
03702,Hirschhofen,SN,FEC
03709,Ritterbrück,SN,FEC
03710,Bruchhagen,SN,FEC
03716,Oberberg,SN,FEC
03717,Altsee-West,SN,FEC
03743,Ritterbach,SN,FEC
03754,Ahornthal,SN,FEC
03755,Fürstenscheid,SN,FEC
03766,Bad Südau,SN,FEC
03767,Rabenwald,SN,FEC
03791,Sonnenstadt,SN,FEC
03792,Niederfeld,SN,FEC
03795,Nordwald,SN,FEC
03799,Marktstein,SN,FEC
03826,Fährhausen,SN,FEC
03827,Rehfurt,SN,FEC
03833,Wolfshausen-Süd,SN,FEC
03835,Mönchsau im Tal,SN,FEC
03842,Winterroda-West,SN,FEC
03863,Schlossstein,SN,FEC
03878,Rabenwald an der Aue,SN,FEC
03892,Mühlhofen,SN,FEC
03893,Bergdorf,SN,FEC
03894,Südkirchen an der Aue,SN,FEC
03909,Althagen,SN,FEC
03926,Adlerbrunn,SN,OQD
03928,Mondstadt,SN,OQD
03946,Ahornhagen am Berg,SN,OQD
03950,Rehstein,SN,OQD
03952,Sommersee,SN,OQD
03957,Adlersee,SN,OQD
03961,Mönchshagen,SN,OQD
03967,Lindental,SN,OQD
03975,Moorhagen,SN,OQD
03991,Adlerscheid,SN,OQD
03993,Westau-Nord,SN,OQD
04021,Nebelhagen,SN,OQD
04029,Steinfurt,SN,OQD
04036,Schlossbach,SN,OQD
04046,Wolfshausen an der Ilm,SN,OQD
04070,Brückenstein,SN,OQD
04082,Sommerfurt,SN,OQD
04083,Kleinbrück,SN,OQD
04084,Moorburg,SN,OQD
04113,Weidenkirchen,SN,OQD
04123,Falkenhagen,SN,OQD
04130,Sonnendorf,SN,OQD
04131,Wiesenhofen,SN,OQD
04133,Bärenstadt,SN,OQD
04160,Sandheim,SN,OQD
04171,Sternweiler am Berg,SN,OQD
04194,Fürstenbach,SN,SKE
04197,Fürstensee,SN,SKE
04201,Neufurt,SN,SKE
04203,Oberthal-West,SN,SKE
04205,Lindenthal-West,SN,SKE
04206,Bischofskirchen,SN,SKE
04213,Erlenhagen,SN,SKE
04214,Lindenstein,SN,SKE
04225,Birkenhofen,SN,SKE
04228,Weidenburg,SN,SKE
04231,Bruchweiler an der Aue,SN,SKE
04246,Rotstein,SN,SKE
04258,Mönchsdorf,SN,SKE
04288,Weidensee-West,SN,SKE
04304,Nordroda,SN,SKE
04312,Fuchsau,SN,SKE
04320,Sommerthal,SN,SKE
04324,Mondscheid,SN,SKE
04332,Hirschweiler,SN,SKE
04353,Ahornhagen-Süd,SN,SKE
04364,Bischofsbrunn,SN,SKE
04369,Fährheim,SN,SKE
04373,Ostwald-Nord,SN,SKE
04380,Marktstein,SN,SKE
04401,Falkenfeld,SN,SKE
04406,Kleinhausen an der Aue,SN,SKE
04409,Großkirchen,SN,SKE
04417,Mönchshofen im Tal,SN,SKE
04438,Ahornkirchen am See,SN,SKE
04493,Burgthal an der Aue,TH,RW
04512,Rabental,TH,RW
04514,Osthausen,TH,RW
04515,Falkenfurt-Nord,TH,RW
04517,Winterburg im Grund,TH,RW
04531,Sandroda,TH,RW
04532,Hirschbrunn,TH,RW
04543,Ahornroda,TH,RW
04554,Heidestadt,TH,RW
04557,Mühlwald,TH,RW
04564,Mühlkirchen,TH,RW
04575,Moorroda,TH,RW
04578,Eichenhagen,TH,RW
04580,Hohental,TH,RW
04581,Altwald,TH,RW
04607,Mönchskirchen an der Warne,TH,RW
04615,Bischofsingen,TH,RW
04616,Birkenau,TH,RW
04621,Feldhofen,TH,RW
04626,Bruchthal,TH,RW
04642,Lindenhausen,TH,RW
04650,Rehdorf im Grund,TH,RW
04667,Erlenheim an der Warne,TH,RW
04676,Kieswald,TH,RW
04680,Kiesthal,TH,RW
04697,Altwald,TH,RW
04700,Neutal,TH,RW
04705,Ahornbrück,TH,RW
04711,Feldroda-West,SN,SB
04720,Westhagen,SN,SB
04733,Kleinbrück-Nord,SN,SB
04734,Sommerhausen,SN,SB
04740,Kiesthal am Berg,SN,SB
04741,Talbach am Berg,SN,SB
04744,Altbach,SN,SB
04756,Bärenfeld,SN,SB
04761,Ahornbach,SN,SB
04764,Erlenheim,SN,SB
04773,Erlenau am See,SN,SB
04780,Kleinberg,SN,SB
04786,Mönchshausen,SN,SB
04788,Falkenweiler,SN,SB
04790,Hohenstein,SN,SB
04794,Wolfshausen an der Warne,SN,SB
04798,Fuchsbach,SN,SB
04799,Hirschburg,SN,SB
04801,Lindendorf am Berg,SN,SB
04803,Kleinhausen am Moor,SN,SB
04807,Ritterbach-Nord,SN,SB
04808,Oststein,SN,SB
04811,Ritterfeld-Süd,SN,SB
04812,Taltal,SN,SB
04825,Schlosssee,SN,SB
04827,Bruchingen am Berg,SN,SB
04837,Feldbach,SN,SB
04840,Bad Wiesensee,SN,SB
04842,Kieshausen,SN,SB
04845,Sternroda,SN,SB
04853,Hohenau,SN,SB
04862,Adlerbrück,SN,SB
04873,Sommerhausen,SN,SB
04876,Sandfeld,SN,SB
04878,Sternfeld,SN,SB
04887,Nordbrunn,SN,SB
04889,Sonnenroda,SN,SB
04896,Hohenbrück,SN,SB
04900,Oberfeld,SN,SB
04909,Sommerstein-Nord,SN,SB
04910,Neubach,SN,SB
04912,Bad Königsscheid,SN,SB
04920,Ostingen,SN,SB
04930,Bruchberg,SN,SB
04938,Grünfurt,SN,SB
04943,Eichenkirchen,SN,SB
04944,Wiesenau,SN,SB
04946,Südroda,SN,SB
04950,Wiesensee im Grund,SN,SB
04956,Königsau-West,SN,SB
04957,Mönchsroda im Tal,SN,SB
04967,Falkendorf im Tal,SN,SB
04970,Oberbach,SN,SB
04971,Buchenbrunn,SN,SB
04972,Fuchsstadt,SN,SB
04974,Unterbrück,SN,SB
05098,Heidehofen am Moor,ST,FH
05144,Mühltal,ST,FH
05210,Westwald,ST,FH
05214,Marktfeld,ST,FH
05277,Winterhofen am See,SN,UKC
05301,Rehstadt an der Aue,SN,UKC
05326,Marktscheid,SN,UKC
05367,Buchenscheid,SN,UKC
05387,Hafenau,SN,UKC
05398,Falkensee,SN,UKC
05405,Weidenbach,SN,UKC
05415,Hohenwald,SN,UKC
05423,Schlosshagen,SN,UKC
05425,Rehwald,SN,UKC
05437,Sonnenscheid-Nord,SN,UKC
05490,Heidefeld,SN,UKC
05499,Schlossscheid an der Warne,SN,UKC
05504,Ahornweiler am See,SN,UKC
05518,Espenthal an der Ilm,SN,LW
05521,Bergbrunn-Ost,SN,LW
05549,Eichental,SN,LW
05565,Bischofsbach,SN,LW
05584,Grünscheid am See,SN,LW
05586,Bergsee,SN,LW
05593,Obertal,SN,LW
05626,Rotberg,SN,LW
05628,Sommerdorf,SN,LW
05645,Adlerburg,SN,LW
05655,Burghagen,SN,LW
05685,Sonnenfurt,SN,LW
05715,Fuchskirchen,SN,LW
05784,Kiesfurt,SN,AEZ
05785,Burgingen,SN,AEZ
05796,Großbrunn,SN,AEZ
05800,Oberberg,SN,AEZ
05804,Sandfeld,SN,AEZ
05817,Falkenfeld,SN,AEZ
05857,Schlossfurt,SN,AEZ
05871,Ritterthal,SN,AEZ
05877,Wolfsstein an der Aue,SN,AEZ
05878,Espenthal,SN,AEZ
05881,Mondbrück,SN,AEZ
05887,Fuchshagen-West,SN,AEZ
05901,Talheim,SN,AEZ
05905,Wiesenfurt,SN,AEZ
05920,Steinburg-Nord,SN,AEZ
05989,Obertal-West,SN,AEZ
05993,Kiesroda an der Ilm,SN,AEZ
06012,Eichenau,SN,AEZ
06038,Kleinburg,SN,MJ
06044,Fürsteningen,SN,MJ
06063,Ahornburg,SN,MJ
06065,Bad Eichensee,SN,MJ
06079,Hafenberg,SN,MJ
06083,Ritterfeld,SN,MJ
06087,Adlerbrunn,SN,MJ
06095,Bucheningen,SN,MJ
06096,Talhausen im Tal,SN,MJ
06103,Sommerbrück,SN,MJ
06112,Bad Neuingen-Süd,SN,MJ
06118,Espendorf,SN,MJ
06132,Altingen,SN,MJ
06145,Bad Rotheim,SN,MJ
06153,Fürstenthal,SN,MJ
06188,Grünwald,SN,MJ
06191,Lindenstadt,SN,MJ
06218,Bruchweiler,SN,MJ
06226,Kieskirchen,SN,MJ
06241,Niederbrück,SN,MJ
06273,Rotthal,SN,MJ
06278,Großthal,SN,MJ
06295,Sommersee im Tal,SN,MJ
06312,Marktbach,TH,OIB
06356,Osttal,TH,OIB
06475,Feldbach,TH,OIB
06480,Schlossstadt,TH,OIB
06491,Marktau,TH,OIB
06533,Westscheid,TH,OIB
06545,Heidetal,TH,OIB
06580,Nebelthal am Berg,SN,ZFS
06600,Winterhofen,SN,ZFS
06614,Burgstein,SN,ZFS
06641,Königsroda,SN,ZFS
06656,Grünfeld,SN,ZFS
06665,Nebelhagen an der Aue,SN,ZFS
06674,Espenhofen,SN,ZFS
06691,Bergwald im Tal,SN,ZFS
06707,Feldtal,SN,ZFS
06720,Wolfsscheid,SN,ZFS
06782,Weststadt,SN,ZFS
06819,Neudorf,SN,ZFS
06853,Brückenbrunn,TH,QF
06857,Sonnenwald,TH,QF
06862,Unterbrunn,TH,QF
06863,Burgburg,TH,QF
06903,Burgwald,TH,QF
06919,Falkenberg,TH,QF
06931,Mönchsdorf,TH,QF
06940,Rabenthal im Tal,TH,QF
06953,Kleinbach,TH,QF
06954,Altfeld,TH,QF
06989,Fürstenwald,TH,QF
07008,Niedertal an der Ilm,TH,QF
07009,Oberhofen,TH,QF
07013,Adlerhofen-Ost,TH,QF
07015,Fuchshausen,TH,QF
07033,Lindenstein,TH,QF
07056,Grünhagen,TH,QF
07058,Wiesenbach im Grund,TH,QF
07066,Westhausen,TH,QF
07067,Ritterfeld,TH,QF
07071,Feldhofen,TH,QF
07082,Altthal,TH,QF
07112,Erlenbach,SN,EM
07143,Unterdorf-Nord,SN,EM
07211,Altbrück,SN,EM
07239,Weidenhausen,SN,EM
07249,Ritterhagen-Nord,SN,EM
07303,Fürstenbrunn,SN,EM
07319,Mondhagen im Tal,SN,EM
07337,Rehbach,SN,EM
07344,Unterwald,SN,EM
07350,Oberhofen,SN,EM
07382,Sterndorf,SN,UW
07473,Altkirchen,SN,UW
07549,Bruchroda,SN,UW
07610,Feldstadt,SN,UW
07665,Fährtal,SN,SW
07701,Hirschbrück,SN,SW
07881,Talhausen am Berg,SN,SW
07891,Hafenstadt-West,TH,PXM
07895,Königsau,TH,PXM
07934,Sommerhofen am Berg,TH,PXM
07946,Bärenwald,TH,PXM
07950,Erlenroda,TH,PXM
07961,Eichenbrück,TH,PXM
08027,Großbach,TH,PXM
08053,Bärenscheid,TH,PXM
08066,Erleningen,TH,PXM
08080,Hafendorf-Süd,TH,PXM
08088,Rabenfurt,TH,PXM
08090,Osthofen,TH,PXM
08095,Hohenroda,TH,PXM
08100,Wiesental,TH,PXM
08133,Fürstenheim,TH,PXM
08137,Neuingen,TH,PXM
08158,Rehhagen-West,ST,WQ
08192,Buchenkirchen,ST,WQ
08218,Nordkirchen,ST,WQ
08223,Hafenkirchen,ST,WQ
08279,Ahornthal an der Aue,ST,WQ
08300,Süddorf,ST,WQ
08301,Unterscheid,ST,WQ
08302,Sommerbach am See,ST,WQ
08309,Burgberg im Tal,ST,WQ
08408,Marktweiler,ST,WQ
08458,Bischofshausen,ST,MED
08470,Sandburg,ST,MED
08477,Altsee,ST,MED
08492,Rehstadt,ST,MED
08500,Adlerbach,ST,MED
08521,Heidetal im Tal,ST,MED
08522,Winterhagen,ST,MED
08534,Niederfeld,ST,MED
08539,Buchenau,ST,MED
08543,Oberburg,ST,MED
08551,Fürstenweiler,ST,MED
08553,Königsstadt am Moor,ST,MED
08599,Unterhofen,ST,MED
08627,Espenbrunn,ST,MED
08645,Rotwald,ST,MED
08662,Westthal,ST,MED
08664,Winterbrunn-Nord,ST,MED
08696,Unterstein,BB,QO
08710,Mühlbrück,BB,QO
08713,Berghausen an der Warne,BB,QO
08723,Adlerau-Ost,BB,QO
08726,Winteringen,BB,QO
08728,Hirschstadt,BB,QO
08740,Moorhagen,BB,QO
08751,Bischofsbrunn,BB,QO
08811,Eichenfurt,BB,QO
08844,Sandroda,BB,QO
08851,Sommersee,BB,QO
08882,Lindenburg im Grund,BB,QO
08895,Bärenweiler,BB,QO
08901,Schlossingen,BB,QO
08904,Weidenheim,BB,QO
08917,Bärenheim,BB,QO
08918,Mondhausen,BB,QO
08924,Kleinwald,BB,QO
08928,Bad Südbrück,BB,QO
08939,Brückenstein,BB,QO
08974,Fährwald,SN,WY
09007,Bischofsfurt-Nord,SN,WY
09020,Ahornbrück,SN,WY
09041,Ostberg,SN,WY
09053,Wiesenfurt,SN,WY
09074,Birkenheim,SN,WY
09077,Bruchburg-Süd,SN,WY
09082,Feldroda,SN,WY
09137,Unterfurt,SN,WY
09150,Neustadt-West,SN,WY
09157,Sonnenbach am Berg,SN,WY
09161,Mondau am Moor,SN,WY
09167,Südberg,SN,WY
09218,Ahornhausen,TH,WXZ
09244,Mühlhofen,TH,WXZ
09278,Mühlau,TH,WXZ
09283,Espenthal,TH,WXZ
09304,Fürstenscheid an der Warne,TH,WXZ
09310,Rehfeld im Grund,TH,WXZ
09317,Falkenkirchen,TH,WXZ
09341,Wiesenthal,TH,WXZ
09376,Westkirchen-West,TH,WXZ
09387,Fährstadt-West,TH,WXZ
09409,Ostdorf am Moor,TH,WXZ
09424,Birkenbach,TH,WXZ
09441,Buchenstein,TH,WXZ
09445,Kleindorf,TH,WXZ
09449,Südburg,TH,WXZ
09454,Steinwald,TH,WXZ
09455,Nordkirchen,TH,WXZ
09463,Bruchwald,TH,WXZ
09466,Ritterhagen,TH,WXZ
09486,Neubach an der Warne,TH,PDD
09497,Fuchswald,TH,PDD
09511,Erlenberg-Ost,TH,PDD
09512,Erlenbrück im Tal,TH,PDD
09520,Mühldorf,TH,PDD
09527,Bischofsbrunn,TH,PDD
09528,Wiesenhausen,TH,PDD
09534,Marktfurt,TH,PDD
09540,Hafenfurt,TH,PDD
09552,Talheim,TH,PDD
09569,Hohenheim,TH,PDD
09571,Niederfeld,TH,PDD
09579,Ritterhofen an der Ilm,TH,PDD
09589,Großhausen,TH,PDD
09591,Rehburg,TH,PDD
09597,Mühltal,TH,PDD
09601,Niederhofen,TH,PDD
09603,Hafenbrunn an der Ilm,TH,PDD
09623,Brückenheim,TH,PDD
09628,Fährburg,TH,PDD
09631,Hafenfeld,TH,PDD
09650,Mühlhausen,TH,PDD
09652,Brückenstein im Grund,TH,PDD
09655,Sommerwald an der Warne,TH,PDD
09656,Rabenscheid,TH,PDD
09657,Erlenstein,TH,PDD
09692,Hirschwald,TH,PDD
09703,Südhausen an der Ilm,TH,PDD
09716,Westbrunn,TH,PDD
09717,Nebelburg,TH,PDD
09722,Bärenbrunn,TH,PDD
09750,Kleinburg,SN,HNE
09758,Mönchshagen,SN,HNE
09763,Neutal am Berg,SN,HNE
09777,Fuchsthal,SN,HNE
09779,Hirschstein am See,SN,HNE
09785,Südingen im Tal,SN,HNE
09791,Kiesau,SN,HNE
09793,Westbach-Ost,SN,HNE
09795,Buchenau,SN,HNE
09803,Ahorndorf im Grund,SN,HNE
09810,Erlenfeld,SN,HNE
09847,Adlerhausen,SN,HNE
09848,Kieshausen,SN,HNE
09851,Bad Hohenfeld an der Ilm,SN,HNE
09853,Nordbach,SN,HNE
09855,Erlenberg,SN,HNE
09872,Altkirchen,SN,HNE
09875,Westfurt im Tal,SN,HNE
09879,Birkenbrunn,SN,HNE
09895,Kieshofen,SN,HNE
09899,Adlerbach,SN,HNE
09905,Hohenhausen,SN,HNE
09911,Neuthal,SN,HNE
09914,Fuchshofen,SN,HNE
09920,Hafenburg im Grund,SN,HNE
09924,Altingen,SN,HNE
09926,Rotfeld,SN,HNE
09947,Mönchshagen,SN,HNE
09953,Moorbach,SN,HNE
09957,Ahornwald am Berg,SN,HNE
09959,Buchental am Moor,SN,HNE
09961,Erlenwald,SN,HNE
09964,Großtal,SN,HNE
09977,Talau,SN,HNE
09998,Hirschthal,SN,HNE
09999,Heidestadt an der Warne,SN,HNE
10001,Fürstenfeld,BB,EFK
10002,Königshofen,BB,EFK
10003,Mühlroda,BB,EFK
10022,Sonnenthal,BB,EFK
10042,Kleinbach,BB,EFK
10044,Obersee,BB,EFK
10051,Wolfsau,BB,EFK
10065,Bad Eichendorf,BB,EFK
10088,Schlossingen,BB,EFK
10112,Bad Mönchshausen,BB,EFK
10134,Ostbrück am Moor,BB,EFK
10174,Buchenfurt,BB,EFK
10175,Nebelhofen,BB,EFK
10176,Fuchsstadt,BB,EFK
10190,Fürstenheim im Tal,BB,EFK
10198,Mondscheid,BB,EFK
10200,Königshofen,BB,EFK
10211,Weststadt,BB,EFK
10221,Niederfeld am Moor,BB,EFK
10261,Oberstadt-Nord,BB,EFK
10267,Erlenbrück an der Warne,BB,EFK
10274,Ostingen,BB,EFK
10290,Ahornau,BB,EFK
10291,Nebelroda,BB,EFK
10298,Berghagen,BB,EFK
10302,Nordheim,BB,EFK
10321,Königswald,BB,EFK
10324,Moorweiler,BB,EFK
10332,Feldfurt,BB,EFK
10352,Kleinfeld,BB,YIB
10446,Bruchbrück,BB,YIB
10482,Hirschsee,BB,YIB
10490,Heidebrunn,BB,YIB
10498,Moorfurt,BB,YIB
10507,Bergfeld-Ost,BB,YIB
10513,Bad Niederbrunn,BB,YIB
10554,Ritterhagen,BB,YIB
10555,Mönchsbrück-Nord,BB,YIB
10618,Birkenhausen am See,BB,YIB
10651,Weidenhofen,BB,YIB
10664,Ritterfurt,BB,YIB
10685,Sonnenfurt an der Ilm,BB,D
10699,Heidehagen-West,BB,D
10710,Südbach,BB,D
10726,Nebelthal,BB,D
10730,Niederscheid,BB,D
10734,Feldroda,BB,D
10738,Birkenwald-Ost,BB,D
10743,Weststein,BB,D
10772,Ostburg,BB,D
10781,Neuscheid,BB,D
10787,Schlossweiler,BB,D
10796,Unterhausen am Moor,BB,D
10826,Wolfsstein,BB,D
10855,Lindeningen,BB,D
10870,Lindenheim,BB,D
10875,Ostscheid,BB,D
10885,Bischofsberg,BB,D
10886,Monddorf,BB,D
10889,Fuchssee,BB,D
10915,Neubrunn,BB,D
10942,Unterau,BB,D
10943,Altroda,BB,D
10948,Gründorf,BB,D
10984,Heidefurt,BB,D
10986,Feldscheid,BB,D
11003,Ritterbrunn,BB,EJV
11017,Fuchsbrunn,BB,EJV
11065,Heideroda im Tal,BB,EJV
11079,Weidenwald,BB,EJV
11092,Wiesenkirchen am See,BB,EJV
11100,Bergheim-Nord,BB,EJV
11109,Westsee-West,BB,EJV
11112,Bischofsheim,BB,EJV
11137,Bad Ostwald am Moor,BB,EJV
11139,Burghausen,BB,EJV
11142,Kieskirchen,BB,EJV
11152,Brückenheim,BB,EJV
11183,Fährweiler,BB,EJV
11185,Großhofen,BB,EJV
11188,Südweiler,BB,EJV
11223,Westhausen,BB,EJV
11253,Grünroda,BB,EJV
11340,Talfeld,BE,HWI
11366,Bischofsroda,BE,HWI
11373,Grünsee,BE,HWI
11377,Lindensee an der Ilm,BE,HWI
11398,Sandroda,BE,HWI
11400,Weidenscheid,BE,HWI
11403,Bäreningen-Süd,BE,HWI
11407,Brückenhagen an der Aue,BE,HWI
11408,Hirschstein,BE,HWI
11416,Bergkirchen,BE,HWI
11420,Bruchhausen,BE,HWI
11439,Buchenheim,BE,HWI
11445,Sommerbrück,BE,HWI
11450,Großscheid,BE,HWI
11454,Bruchberg-Süd,BE,HWI
11463,Buchenbach,BE,HWI
11465,Hirschdorf,BE,HWI
11468,Rabenhagen,BE,HWI
11500,Hirschweiler,BE,HWI
11501,Heidefeld an der Warne,BE,HWI
11503,Bischofsscheid,BE,HWI
11504,Marktsee,BE,HWI
11506,Wiesenkirchen,BE,HWI
11508,Bad Espendorf,BE,HWI
11513,Sandberg,BE,HWI
