regel_id,beschreibung,entitaet,spalten,granularitaet_a,fehlerklasse_b,erkennbarkeit_c,schweregrad,literatur,fachliche_grundlage,schicht,in_zellmetrik
R-030,sf_ordnung(sf_klasse_vk) <= sf_ordnung(sf_klasse_hp),risiko_kfz,sf_klasse_vk; sf_klasse_hp,G2,B4,C2,WARNUNG,FAN,"Marktueblich; Ausnahmen existieren, daher Warnung",typed,ja
R-031,bruttobeitrag_jahr_eur = nettobeitrag_jahr_eur plus versicherungsteuer_eur,angebot,bruttobeitrag_jahr_eur; nettobeitrag_jahr_eur; versicherungsteuer_eur,G2,B4,C1,HART,FAN; CHU; DAMA,Beitragsarithmetik; Toleranz aus config.schwellen,typed,ja
R-032,"versicherungsteuer_eur = ROUND_HALF_UP(netto mal satz / 100, 2)",angebot,versicherungsteuer_eur; nettobeitrag_jahr_eur; versicherungsteuer_satz,G2,B4,C1,HART,FAN,Paragraf 6 in Verbindung mit Paragraf 5 VersStG,typed,ja
R-033,"versicherungsteuer_satz entspricht dem Effektivsatz der Sparte (051/052/053 -> 19,00; 130 -> 16,15)","angebot, anfrage",versicherungsteuer_satz,G2,B4,C1,HART,FAN,Paragraf 6 Absatz 2 in Verbindung mit Paragraf 5 Absatz 1 Nummer 3 VersStG. Musterbeispiel einer Conditional Functional Dependency,typed,ja
R-034,Bei steuerfreien Sparten ist versicherungsteuer_eur gleich null,"angebot, anfrage",versicherungsteuer_eur,G2,B4,C1,HART,FAN,"Paragraf 4 VersStG. **Im aktuellen Datenmodell nicht ausloesbar**, da die steuerfreien Sparten (Leben, Kranken, BU, Rente, Pflege) nicht erzeugt werden — bewusst implementiert und als solche gekennzeichnet",typed,ja
R-035,"zahlweise in {1, 6} erzwingt ratenzahlungszuschlag_prozent = 0","angebot, anfrage",ratenzahlungszuschlag_prozent,G2,B4,C1,HART,FAN,Ohne Ratenzahlung kein Ratenzuschlag,typed,ja
R-036,zahlbeitrag_rate_eur mal Ratenanzahl >= bruttobeitrag_jahr_eur minus Toleranz mal Ratenanzahl,"angebot, anfrage",zahlbeitrag_rate_eur; bruttobeitrag_jahr_eur,G2,B4,C1,HART,CHU,"Unterjaehrige Zahlung ist nie guenstiger als jaehrliche. Die Toleranz skaliert mit der Ratenanzahl, weil sich der Rundungsfehler je Rate aufsummiert",typed,ja
R-037,"annahmeentscheidung = ABLEHNUNG genau dann, wenn alle Beitragsfelder leer",angebot,annahmeentscheidung; nettobeitrag_jahr_eur; versicherungsteuer_satz; versicherungsteuer_eur; bruttobeitrag_jahr_eur; ratenzahlungszuschlag_prozent; zahlbeitrag_rate_eur,G2,B4,C1,HART,FAN; RD,Ein abgelehntes Risiko hat keinen Beitrag,typed,ja
R-038,fahrzeugwert_aktuell <= neupreis_eur,risiko_kfz,fahrzeugwert_aktuell; neupreis_eur,G2,B3,C1,HART,CHU,Ein Fahrzeug ist nicht mehr wert als neu,typed,ja
R-039,"art_kennzeichen = 54 erzwingt antriebsart in {ELEKTRO, HYBRID}",risiko_kfz,art_kennzeichen; antriebsart,G2,B4,C1,HART,FAN,E-Kennzeichen setzt elektrischen Antrieb voraus (EmoG),typed,ja
R-040,unterversicherungsverzicht erzwingt versicherungssumme_eur >= 650 mal wohnflaeche_qm,risiko_hausrat,versicherungssumme_eur; wohnflaeche_qm; unterversicherungsverzicht,G2,B4,C2,WARNUNG,FAN,"Branchenuebliche Faustregel 650 Euro je Quadratmeter, Modellannahme",typed,ja
R-041,"Genau eines von sb_hausrat_prozent und sb_hausrat_eur ist gefuellt — nur anwendbar, wenn die Sparte einen Hausrat-Selbstbehalt kennt","angebot, anfrage",sb_hausrat_prozent; sb_hausrat_eur,G2,B4,C2,WARNUNG,RD; KIM,"Modellannahme des Schemas, kein Domaenenfakt — reale Produkte kennen kombinierte Formen",typed,ja
R-042,sublimit_fahrrad_eur und sublimit_wertsachen_eur <= versicherungssumme_eur,risiko_hausrat,sublimit_fahrrad_eur; sublimit_wertsachen_eur; versicherungssumme_eur,G2,B4,C1,HART,CHU,Ein Sublimit kann die Gesamtsumme nicht uebersteigen,typed,ja
R-043,rang je anfrage_id ist lueckenlos 1..n und eindeutig,angebot,rang,G3,B5,C1,HART,RD; DAMA,Ein Vergleichsergebnis hat eine vollstaendige Rangfolge,typed,ja
R-044,rang ist aufsteigend nach zahlbeitrag_rate_eur sortiert,angebot,rang; zahlbeitrag_rate_eur,G3,B4,C1,HART,CHU,Ein Preisvergleich sortiert nach Preis,typed,ja
R-045,"Kein Duplikat ueber (anfrage_id, tarif_id)",angebot,anfrage_id; tarif_id,G3,B5,C1,HART,RD; ABE; DAMA,"Derselbe Tarif erscheint nicht zweimal im selben Vergleich. Abgrenzung zu HO1: exakte, nicht semantische Duplikate",typed,ja
R-046,Je anfrage_id existiert genau eine person mit rolle = VN,"person, anfrage",rolle,G3,B5,C1,HART,RD; OLI,Ein Vertrag hat genau einen Versicherungsnehmer,typed,ja
R-047,max(zahlbeitrag_rate_eur) / min(...) je anfrage_id bleibt unter der Schwelle,angebot,zahlbeitrag_rate_eur,G3,B3,C2,WARNUNG,ABE; FOI,Eine extreme Spreizung deutet auf einen Einheiten- oder Mappingfehler hin. Schwellenwert ist eine Modellannahme. Diagnosekennzahl ohne verursachende Zelle,typed,nein
R-048,"Die empirische Verteilung von zuers_zone weicht je Zone hoechstens relativ von (92,4 / 6,1 / 1,1 / 0,4) ab",risiko_hausrat,zuers_zone,G3,B3,C2,WARNUNG,ABE,Verteilungspruefung statt Einzelwertpruefung (Metrik-Constraints nach Schelter et al.). Relative statt absoluter Toleranz. Diagnosekennzahl ohne Zellbezug,typed,nein
R-049,"Alle Fremdschluessel sind aufloesbar: angebot.anfrage_id, angebot.tarif_id, anfrage.vn_person_id, risiko_*.anfrage_id, zahlung.anfrage_id",alle,anfrage_id; tarif_id; vn_person_id,G4,B4,C1,HART,RD; OLI,"GDV-Referenzlogik: Satzart 0220 auf 0210 ueber die Referenznummer, auf 0100 ueber die Personennummer",typed,ja
R-050,plz existiert in plz_ort und ort stimmt mit dem Referenzeintrag ueberein,person,plz; ort,G4,B3,C3,HART,RD; FAN; ISO,Klassisches CFD-Beispiel: Land bestimmt PLZ bestimmt Ort,typed,ja
R-051,"(hsn, tsn) existiert in typklassen und die abgeleiteten Felder leistung_kw, antriebsart und typklasse_* stimmen mit dem Referenzeintrag ueberein",risiko_kfz,hsn; tsn; leistung_kw; antriebsart; typklasse_hp; typklasse_tk; typklasse_vk,G4,B4,C3,HART,RD; FAN,Eine Abweichung deutet auf einen Mappingfehler zwischen Schnittstelle und Fahrzeugkatalog hin,typed,ja
R-052,Innerhalb einer anfrage_id verwenden alle Angebote dieselbe Einheitenkonvention fuer den Selbstbehalt,angebot,sb_hausrat_prozent; sb_hausrat_eur,G5,B7,C2,WARNUNG,RD; KIM; FOI; DAMA,"Anbieter A liefert den Selbstbehalt in Euro, Anbieter B in Prozent — der Vergleich wird dadurch unzulaessig",typed,ja
R-053,bruttobeitrag_jahr_eur liegt je Sparte im plausiblen Korridor (config.schwellen),"angebot, anfrage",bruttobeitrag_jahr_eur,G5,B3,C2,WARNUNG,ABE; FOI,"Cent-statt-Euro-Interpretation durch implizite Dezimalstellen im GDV-Format. Geprueft wird der Jahresbeitrag, nicht die Rate",typed,ja
R-054,Kein Angebot weicht um naeherungsweise den Faktor 12 vom Median der uebrigen Angebote derselben Anfrage ab,angebot,bruttobeitrag_jahr_eur,G5,B7,C2,WARNUNG,RD; FOI,"Monats- statt Jahresbeitrag. Ein Faktor 12 ist nicht ueber eine absolute Untergrenze zu finden, sondern nur relational",typed,ja
R-055,"berechnungszeitpunkt liegt in [tarif.gueltig_ab, tarif.gueltig_bis]","angebot, tarif",berechnungszeitpunkt; tarif_id,G5,B6,C1,HART,RD; DAMA; ISO,Veralteter Tarifstand — die klassische Fehlerklasse von Vergleichsportalen. GDV-Bestandsdaten werden meist nur monatlich erzeugt,typed,ja
R-056,tarif.gueltig_bis liegt nach tarif.gueltig_ab,tarif,gueltig_bis; gueltig_ab,G5,B6,C1,HART,RD,"Ein Zeitraum, der endet, bevor er beginnt, ist kein Zeitraum",typed,ja
R-057,"Das Pflichtfeldprofil ist eingehalten, zweigeteilt: Anfrageseite je kanal, Angebot je quell_schnittstelle; Anwendbarkeitsbedingung beachtet","person, risiko_kfz, risiko_hausrat, zahlung, angebot",email; strasse; hausnummer; familienstand; wohneigentum; abstellplatz; alter_juengster_fahrer; jahresfahrleistung_km; sublimit_fahrrad_eur; sublimit_wertsachen_eur; sb_tk_eur; sb_vk_eur; bic; kontoinhaber,G5,B1,C2,WARNUNG,RD; DAMA,"Versicherer befuellen dasselbe Feld unterschiedlich tief; das Pflichtfeldprofil steht in spec/01, Abschnitt 5",typed,ja
R-058,"regionalklasse_hp, _tk und _vk stimmen mit dem Eintrag zu zulassungsbezirk in regionalklassen.csv ueberein",risiko_kfz,zulassungsbezirk; regionalklasse_hp; regionalklasse_tk; regionalklasse_vk,G5,B4,C3,HART,FAN; CHU,"Referenzabgleich analog zu R-051. Regionalklassen haengen am Zulassungsbezirk, nicht an der PLZ — PLZ-Gebiete koennen Bezirksgrenzen schneiden",typed,ja
